Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Date,Date_reference,Date_sort,Date_hierarchy,local health board provider,local health board provider_reference,local health board provider_sort,local health board provider_hierarchy,specialty,specialty_reference,specialty_sort,specialty_hierarchy,stage of pathway,stage of pathway_reference,stage of pathway_sort,stage of pathway_hierarchy,weeks waiting,weeks waiting_reference,weeks waiting_sort,weeks waiting_hierarchy,age group,age group_reference,age group_sort,age group_hierarchy,Notes
2,2,Pathways waiting,1,1,,Jul-25,20250731,167,,All Wales LHB (Provider),W92000004,1,,Trauma and Orthopaedic,110,75,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 101 weeks and up to 105 weeks,101 - 104,57,T,Less than 18 years of age,17,,T,
14,14,Pathways waiting,1,1,,Dec-24,20241231,160,,Hywel Dda LHB,W11000025,4,W92000004,Haemotology (clinical),303,36,T,All Stages of Pathway,T,5,,Over 11 weeks and up to 12 weeks,11,12,T,Over 18 years of age,18,,T,
15,15,Pathways waiting,1,1,,Mar-25,20250331,163,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Ophthalmology,130,58,T,All Stages of Pathway,T,5,,Over 57 weeks and up to 61 weeks,57 - 60,46,T,Less than 18 years of age,17,,T,
135,135,Pathways waiting,1,1,,Oct-24,20241031,158,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Dermatology,330,21,T,Waiting for new OP appointment,1,1,T,Over 93 weeks and up to 97 weeks,93 - 96,55,T,Total,T,,,
466,466,Pathways waiting,1,1,,May-25,20250531,165,,Cardiff and Vale University LHB,W11000029,10,W92000004,Allied Health Profession Services,999,2,T,All Stages of Pathway,T,5,,Over 4 weeks and up to 5 weeks,4,5,T,Over 18 years of age,18,,T,
68,68,Pathways waiting,1,1,,May-25,20250531,165,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,Total,T,83,,Waiting for new OP appointment,1,1,T,Over 31 weeks and up to 32 weeks,31,32,T,Less than 18 years of age,17,,T,
26,26,Pathways waiting,1,1,,May-25,20250531,165,,Hywel Dda LHB,W11000025,4,W92000004,Pain Management,191,66,T,All Stages of Pathway,T,5,,Over 31 weeks and up to 32 weeks,31,32,T,Total,T,,,
62,62,Pathways waiting,1,1,,Jan-25,20250131,161,,Hywel Dda LHB,W11000025,4,W92000004,Total,T,83,,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 93 weeks and up to 97 weeks,93 - 96,55,T,Total,T,,,
28,28,Pathways waiting,1,1,,Dec-24,20241231,160,,All Wales LHB (Provider),W92000004,1,,Geriatric Medicine,430,31,T,All Stages of Pathway,T,5,,Over 25 weeks and up to 26 weeks,25,26,T,Over 18 years of age,18,,T,
2,2,Pathways waiting,1,1,,Jan-25,20250131,161,,All Wales LHB (Provider),W92000004,1,,Restorative Dentistry,141,72,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 20 weeks and up to 21 weeks,20,21,T,Over 18 years of age,18,,T,
12,12,Pathways waiting,1,1,,Oct-25,20251031,170,,Hywel Dda LHB,W11000025,4,W92000004,Haemotology (clinical),303,36,T,All Stages of Pathway,T,5,,Over 14 weeks and up to 15 weeks,14,15,T,Total,T,,,
1,1,Pathways waiting,1,1,,Jun-25,20250630,166,,Swansea Bay University Health Board,W11000031,5,W92000004,Plastic Surgery,160,68,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 7 weeks and up to 8 weeks,7,8,T,Total,T,,,
3,3,Pathways waiting,1,1,,Sep-24,20240930,157,,Powys Teaching LHB,W11000024,3,W92000004,Rheumatology,410,73,T,Waiting for new OP appointment,1,1,T,Over 11 weeks and up to 12 weeks,11,12,T,Total,T,,,
277,277,Pathways waiting,1,1,,Oct-25,20251031,170,,All Wales LHB (Provider),W92000004,1,,Oral Surgery,140,59,T,All Stages of Pathway,T,5,,Over 22 weeks and up to 23 weeks,22,23,T,Over 18 years of age,18,,T,
31,31,Pathways waiting,1,1,,May-25,20250531,165,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,Cardiology,320,7,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 73 weeks and up to 77 weeks,73 - 76,50,T,Total,T,,,
